image,object_iou,paper_iou,object_status,paper_status,t1_object_box,t2_object_box,t1_paper_box,t2_paper_box
image_0.jpg,1.000000,1.000000,ok,ok,"(135.65945434570312, 39.86968994140625, 215.86767578125, 132.5032958984375)","(135.65945434570312, 39.86968994140625, 215.86767578125, 132.5032958984375)","(62.27595138549805, 1.0970122814178467, 278.07879638671875, 210.94126892089844)","(62.27595138549805, 1.0970122814178467, 278.07879638671875, 210.94126892089844)"
image_1.jpg,1.000000,1.000000,ok,ok,"(106.30681610107422, 74.90798950195312, 198.79591369628906, 155.88084411621094)","(106.30681610107422, 74.90798950195312, 198.79591369628906, 155.88084411621094)","(71.44622039794922, 23.456790924072266, 272.3544006347656, 225.0076141357422)","(71.44622039794922, 23.456790924072266, 272.3544006347656, 225.0076141357422)"
image_10.jpg,1.000000,1.000000,ok,ok,"(106.99940490722656, 90.55787658691406, 186.97203063964844, 167.95497131347656)","(106.99940490722656, 90.55787658691406, 186.97203063964844, 167.95497131347656)","(27.523330688476562, 33.3236083984375, 236.6818389892578, 240.62033081054688)","(27.523330688476562, 33.3236083984375, 236.6818389892578, 240.62033081054688)"
image_11.jpg,1.000000,1.000000,ok,ok,"(48.064456939697266, 154.20628356933594, 124.46997833251953, 230.3257598876953)","(48.064456939697266, 154.20628356933594, 124.46997833251953, 230.3257598876953)","(19.323633193969727, 70.4142074584961, 211.97015380859375, 261.64312744140625)","(19.323633193969727, 70.4142074584961, 211.97015380859375, 261.64312744140625)"
image_2.jpg,1.000000,1.000000,ok,ok,"(112.73111724853516, 100.9753189086914, 187.81365966796875, 179.73533630371094)","(112.73111724853516, 100.9753189086914, 187.81365966796875, 179.73533630371094)","(55.22068405151367, 65.94062805175781, 247.78492736816406, 257.815673828125)","(55.22068405151367, 65.94062805175781, 247.78492736816406, 257.815673828125)"
image_3.jpg,1.000000,1.000000,ok,ok,"(149.91981506347656, 107.54784393310547, 220.17727661132812, 187.15133666992188)","(149.91981506347656, 107.54784393310547, 220.17727661132812, 187.15133666992188)","(101.24900817871094, 38.49690246582031, 317.2434997558594, 253.4829864501953)","(101.24900817871094, 38.49690246582031, 317.2434997558594, 253.4829864501953)"
image_4.jpg,1.000000,1.000000,ok,ok,"(91.45121002197266, 112.63832092285156, 176.87997436523438, 201.9604034423828)","(91.45121002197266, 112.63832092285156, 176.87997436523438, 201.9604034423828)","(54.99187469482422, 66.72159576416016, 228.31675720214844, 239.09410095214844)","(54.99187469482422, 66.72159576416016, 228.31675720214844, 239.09410095214844)"
image_5.jpg,1.000000,1.000000,ok,ok,"(147.70953369140625, 109.8152847290039, 232.92086791992188, 202.62193298339844)","(147.70953369140625, 109.8152847290039, 232.92086791992188, 202.62193298339844)","(100.33055114746094, 26.50419807434082, 320.6575622558594, 244.90548706054688)","(100.33055114746094, 26.50419807434082, 320.6575622558594, 244.90548706054688)"
image_6.jpg,1.000000,1.000000,ok,ok,"(104.86372375488281, 89.47152709960938, 203.04656982421875, 188.2743682861328)","(104.86372375488281, 89.47152709960938, 203.04656982421875, 188.2743682861328)","(64.55604553222656, 79.70450592041016, 222.28909301757812, 238.49989318847656)","(64.55604553222656, 79.70450592041016, 222.28909301757812, 238.49989318847656)"
image_7.jpg,1.000000,1.000000,ok,ok,"(120.1239013671875, 143.1607208251953, 201.95223999023438, 221.57130432128906)","(120.1239013671875, 143.1607208251953, 201.95223999023438, 221.57130432128906)","(52.85420608520508, 48.43574905395508, 270.5038757324219, 263.916259765625)","(52.85420608520508, 48.43574905395508, 270.5038757324219, 263.916259765625)"
image_8.jpg,1.000000,1.000000,ok,ok,"(127.35379791259766, 113.48799896240234, 203.91148376464844, 193.45872497558594)","(127.35379791259766, 113.48799896240234, 203.91148376464844, 193.45872497558594)","(47.2249641418457, 57.57179641723633, 253.98374938964844, 261.69146728515625)","(47.2249641418457, 57.57179641723633, 253.98374938964844, 261.69146728515625)"
image_9.jpg,1.000000,1.000000,ok,ok,"(54.56047439575195, 111.46846771240234, 130.24755859375, 189.08836364746094)","(54.56047439575195, 111.46846771240234, 130.24755859375, 189.08836364746094)","(21.23572540283203, 66.76889038085938, 212.22232055664062, 256.4505920410156)","(21.23572540283203, 66.76889038085938, 212.22232055664062, 256.4505920410156)"
